"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2010","LAD","80","82","41","637","162","1441.2","7.95","3.36","0.84",".287","70.9%","44.6%","8.6%","92.2","4.01","","3.76","3.87","16.8"
"2016","TOR","89","73","43","649","162","1459.1","8.10","2.84","1.13",".282","74.4%","46.6%","13.0%","92.9","3.79","","4.04","4.02","16.8"
"2017","CHC","92","70","38","693","162","1447.1","8.95","3.44","1.21",".285","74.2%","46.2%","14.5%","92.7","3.95","","4.20","4.10","16.8"
"2011","TBR","91","71","32","600","162","1449.0","7.10","3.13","1.00",".265","75.5%","42.1%","9.8%","92.8","3.58","","4.03","4.01","16.8"
"2013","PIT","94","68","55","627","162","1470.2","7.72","3.15","0.62",".285","75.0%","52.5%","8.9%","93.6","3.27","","3.42","3.58","16.8"
"2003","MIN","90","72","45","561","162","1461.2","6.14","2.48","1.15",".290","71.1%","38.6%","10.4%","","4.41","","4.26","4.38","16.8"
"2013","CLE","92","70","38","702","162","1441.1","8.61","3.46","0.92",".302","74.2%","44.5%","10.7%","93.4","3.82","","3.73","3.71","16.8"
"2011","MIL","96","66","47","596","162","1441.2","7.85","2.75","0.92",".288","73.2%","44.7%","9.7%","91.8","3.64","","3.59","3.58","16.8"
"2014","MIA","77","85","42","649","162","1457.2","7.35","2.83","0.70",".310","71.9%","46.9%","8.0%","94.7","3.79","","3.56","3.75","16.7"
"2008","KCR","75","87","44","601","162","1445.2","6.75","3.21","0.99",".298","69.1%","41.9%","9.2%","92.3","4.50","","4.21","4.36","16.7"
"2011","DET","95","67","52","583","162","1440.0","6.97","3.08","0.93",".292","71.1%","44.5%","9.3%","94.0","4.04","","3.96","4.00","16.7"
"2010","PHI","97","65","40","613","162","1456.1","7.31","2.57","1.04",".289","75.3%","46.5%","10.6%","91.9","3.68","","3.93","3.75","16.6"
"2013","OAK","96","66","46","609","162","1452.0","7.33","2.65","1.01",".276","74.8%","39.5%","9.2%","91.7","3.56","","3.83","4.05","16.6"
"2003","PHI","86","76","33","599","162","1443.2","6.61","3.34","0.89",".284","72.3%","45.3%","9.7%","","4.06","","4.12","4.32","16.6"
"2014","PHI","73","89","40","623","162","1468.1","7.69","3.19","0.82",".295","72.2%","46.4%","9.4%","93.8","3.81","","3.81","3.83","16.6"
"2004","FLA","83","79","53","566","162","1439.0","6.98","3.21","1.04",".288","72.9%","43.7%","10.7%","","4.10","","4.17","4.25","16.6"
"2001","SFG","90","72","47","601","162","1463.1","6.64","3.56","0.89",".290","70.5%","","","","4.19","","4.12","","16.6"
"2017","PIT","75","87","36","664","162","1440.2","7.88","3.19","1.14",".306","73.2%","45.2%","12.9%","94.8","4.23","","4.23","4.33","16.6"
"2017","TOR","76","86","45","740","162","1465.0","8.43","3.37","1.25",".303","71.8%","45.4%","13.3%","92.5","4.42","","4.31","4.36","16.6"
"2016","STL","86","76","38","643","162","1448.1","8.02","2.95","0.99",".304","71.8%","49.5%","12.8%","94.1","4.08","","3.88","3.88","16.6"
"2002","MON","83","79","39","599","162","1453.0","6.74","3.15","1.02",".295","72.9%","47.2%","11.5%","","3.98","","4.08","3.98","16.6"
"2000","LAD","86","76","36","533","162","1445.0","7.19","3.74","1.10",".283","73.3%","","","","4.10","","4.52","","16.5"
"2000","CHW","95","67","43","628","162","1450.1","6.44","3.81","1.21",".296","70.3%","","","","4.67","","4.83","","16.5"
"2019","BOS","84","78","33","794","162","1471.0","9.99","3.70","1.32",".312","70.8%","42.6%","14.4%","93.6","4.70","","4.28","4.39","16.5"
